StressLevels,SelfEsteem,SocialAnxiety,Mindfulness,CognitiveFlexibility,DepressiveSymptoms,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
16,7,3,2,13,6,6,5,6,3,1
4,11,11,6,5,2,0,8,1,3,6
13,3,5,3,5,9,7,1,4,0,4
2,1,8,6,2,0,4,0,0,4,6
13,16,3,3,11,0,8,6,4,5,0
18,14,1,2,13,10,7,4,6,5,2
20,18,4,1,11,2,5,3,7,3,3
8,10,5,6,3,3,3,7,2,5,7
15,8,6,1,12,10,6,6,7,4,2
14,3,4,4,8,8,4,5,5,4,5
7,6,3,0,9,3,8,2,3,2,2
1,0,6,7,0,2,5,0,1,6,5
21,18,6,1,12,10,7,8,6,2,2
6,5,9,7,1,1,4,6,2,5,3
13,11,0,6,9,3,8,1,5,2,2
16,14,4,1,9,6,4,8,6,3,4
1,0,9,7,1,8,2,0,3,7,7
18,14,2,1,10,12,6,2,6,2,3
12,6,1,5,10,8,8,5,4,4,3
5,3,7,8,5,5,3,6,4,6,7
17,13,5,0,13,10,8,5,7,2,4
7,5,8,3,1,7,1,4,4,4,4
14,9,5,1,12,6,7,7,5,1,5
0,0,8,6,1,5,3,3,4,6,7
13,9,2,2,9,4,4,6,2,6,3
15,15,4,0,12,4,3,4,5,3,3
8,5,7,6,7,6,5,7,4,5,5
18,13,5,1,11,5,7,5,7,4,2
14,9,4,1,10,7,5,5,3,4,4
2,2,7,6,3,0,4,3,5,4,4